,,,,,,,,,,,,,,
Date,Day of Week,BEER,Cheap Cig,CIGARETTES PACKS,DRINKS,FOOD STAMPS,GROCERY 2%,NewPort,NON GROCERY 7%,Non Tax,PallMall,TOBBACO,VAPES,WINE
01/01/2024,Monday,$358.68,$138.08,$264.22,$405.86,$0.00,$347.09,$181.59,$54.37,$1.50,$0.00,$268.47,$45.97,$52.54
01/02/2024,Tuesday,$338.06,$129.58,$297.59,$225.23,$0.00,$258.45,$180.59,$50.70,$42.00,$13.98,$164.69,$13.99,$37.54
01/03/2024,Wednesday,$318.73,$247.99,$270.27,$274.22,$0.00,$439.55,$111.67,$91.23,$12.83,$6.99,$185.90,$87.96,$39.11
01/04/2024,Thursday,$360.62,$189.98,$475.04,$314.15,$0.00,$388.87,$163.21,$72.50,$29.50,$6.99,$281.08,$35.97,$15.57
01/05/2024,Friday,$618.03,$230.37,$278.73,$364.93,$1.19,$377.95,$258.60,$138.11,$28.49,$0.00,$256.09,$57.94,$5.16
01/06/2024,Saturday,$404.89,$132.14,$194.02,$319.67,$0.00,$414.76,$163.91,$76.96,$43.14,$6.99,$284.88,$57.94,$92.21
01/07/2024,Sunday,$544.54,$111.57,$326.02,$362.78,$0.00,$366.31,$190.58,$130.29,$6.50,$0.00,$239.92,$70.94,$78.33
01/08/2024,Monday,$400.81,$220.12,$352.06,$370.37,$1.19,$296.68,$224.04,$47.01,$57.26,$6.99,$263.54,$9.98,$55.53
01/09/2024,Tuesday,$371.10,$188.83,$195.68,$236.70,$1.19,$276.93,$164.81,$48.08,$13.38,$6.99,$127.56,$61.97,$23.78
01/10/2024,Wednesday,$485.07,$212.59,$315.38,$440.63,$0.00,$418.72,$216.65,$36.48,$33.74,$6.99,$279.73,$45.95,$0.00
01/11/2024,Thursday,$427.34,$188.61,$331.48,$332.61,$0.00,$362.10,$224.44,$53.77,$42.60,$0.00,$247.19,$120.94,$27.17
01/12/2024,Friday,$491.10,$263.74,$285.44,$310.85,$0.00,$305.61,$145.63,$111.39,$38.24,$6.99,$222.46,$155.93,$19.98
01/13/2024,Saturday,$558.33,$204.97,$251.93,$326.60,$0.00,$310.57,$207.56,$75.93,$48.98,$0.00,$287.81,$60.94,$6.47
01/14/2024,Sunday,$365.07,$103.77,$292.22,$267.31,$0.00,$181.49,$137.84,$24.28,$24.00,$6.99,$162.83,$58.96,$30.82
01/15/2024,Monday,$383.19,$171.51,$202.47,$295.32,$0.00,$305.98,$172.60,$102.72,$42.82,$6.99,$194.73,$110.20,$35.87
01/16/2024,Tuesday,$368.43,$162.22,$256.97,$215.92,$0.00,$295.15,$121.66,$60.04,$90.54,$6.99,$189.24,$20.99,$12.94
01/17/2024,Wednesday,$334.14,$160.41,$225.25,$295.30,$0.00,$220.72,$171.20,$44.89,$19.99,$0.00,$244.78,$134.93,$41.46
01/18/2024,Thursday,$388.04,$191.01,$260.35,$334.36,$1.19,$338.48,$164.11,$85.98,$32.82,$6.99,$259.63,$256.89,$58.79
01/19/2024,Friday,$703.70,$246.44,$362.23,$350.76,$0.00,$413.84,$250.11,$105.94,$40.00,$0.00,$289.08,$186.90,$19.04
01/20/2024,Saturday,$538.28,$177.02,$439.49,$331.95,$0.00,$365.97,$172.80,$99.72,$29.96,$0.00,$282.70,$59.95,$36.29
01/21/2024,Sunday,$494.16,$149.47,$182.10,$272.34,$0.00,$393.95,$195.87,$96.15,$26.00,$13.98,$228.62,$78.94,$43.64
